MARCHE,CLT AGE,PROFESSION,CLT PUB/PRIV,NATIONALITE,RES,CLT CATEGORIE,PTF,TYPE PTF,SEGMENT,SOUS_SEG,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,ENC DEBIT,PD,TOT DES CREDITS,CLASSE DE RISQUE,PRIME_ASSURANCE
TRE,45,Cadres sup√©rieurs dans l'industrie,PRIVE,TUNISIA,BENIN,7150,4584,PRINCIPAL,TRE,2 TRE - CM,2500,2868.956,753.050228,0,74561.107,-184.338,0.03,74376.769,0,1004.086382
PART,43,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,5595,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1230,1920.378,2478.003,0,31979.673,0,0.03,31979.673,0,431.7255855
PART,47,Directeurs d'entreprises,PRIVE,TUNISIA,TUNISIA,7000,2820,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,6060,11884.119,0,21954.025,93615.166,-6645.89,0.03,108923.301,0,1470.464564
PART,50,Cadres moyens dans les autres services,PRIVE,TUNISIA,TUNISIA,7000,4035,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,6000,5794.237,39447.381,24706.956,103588.854,-4161.304,0.03,124134.506,0,1675.815831
PART,56,Ouvriers dans autres secteurs,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,2885.54,1174.281,267.404,0,44666.955,24662.2,0.4372,44493.683,1,0
PART,73,Directeurs d'entreprises,PRIVE,TUNISIA,TUNISIA,7000,2820,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,2704.4,18652.761,129527.391,96467.298,237334.16,38453.68,0.7351,333801.458,1,0
PART,39,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,6149,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,1892.05,1987.47,47.313,0,48105.134,36365.81,0.95,48083.04,1,0
PART,47,Employ√É¬©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,2888.36,578.986,16.668,1056.648,40130.123,74.13,0.0199,35540.473,0,479.7963855
PART,37,Employ√É¬©s de bureau,PRIVE,TUNISIA,TUNISIA,7000,,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,4781.48,2128.846,3.955,0,258.534,3908.32,0.0662,258.534,1,0
PART,44,M√©decins de la fonction publique et assimil√©s,PUBLIC,TUNISIA,TUNISIA,7000,4213,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,3350,2641.893,24025.117,0,18987.039,0,0.03,18987.039,0,256.3250265
PART,60,Retrait√©s,PUBLIC,TUNISIA,TUNISIA,7000,3202,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1442,9519.841,5299.04,0,95734.243,0,0.03,95734.243,0,1292.412281
PART,49,Dirigeants et g√©rants dans l'industrie,PRIVE,TUNISIA,TUNISIA,7000,2820,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,3000,38674.387,110565.754,36727.355,74460.521,0,0.03,111187.876,0,1501.036326
PART,44,Ing√©nieurs,PRIVE,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,6191.916,23228.024,165641.073,0,33263.964,0,0.03,33263.964,0,449.063514
PART,55,Cadres sup√©rieurs dans l'industrie,PRIVE,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,23160,50000.597,583.613,391363.646,53233.621,-7747.15,0.03,436850.117,0,5897.47658
PRO,67,Commer√ßants (autres),N_D,TUNISIA,TUNISIA,6000,3078,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,10116,237153.088,0,50000,261832.666,-13741.317,0.03,298091.349,0,4024.233212
PART,55,Cadres moyens dans les autres services,PRIVE,TUNISIA,TUNISIA,7000,4584,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,891,1869.162,11124.511,0,16927.419,0,0.03,16927.419,0,228.5201565
PART,66,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4482,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,825,1041.901,0,0,26727.987,-174.601,0.03,26553.386,0,358.470711
PRO,54,Conducteurs dans le transport public,N_D,TUNISIA,TUNISIA,6000,4584,AUX,GRAND PUBLIC,3 GP - PRO,2500,1614.23,561.889,13576.005,5376.71,-1016.084,0.03,17936.631,0,242.1445185
PART,48,Directeurs d'entreprises,PRIVE,TUNISIA,TUNISIA,7000,4589,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,4515,9204.021,8429.821,0,141520.525,0,0.03,141520.525,0,1910.527088
TRE,62,Autres cadres sup√©rieurs,PUBLIC,TUNISIA,QATAR,7150,4323,PRINCIPAL,TRE,1 TRE - HG,35000,29732.9599,31305.23072,81931.489,192608.766,0,0.03,274540.255,0,3706.293443
PART,46,Ing√©nieurs,PUBLIC,TUNISIA,TUNISIA,7000,3202,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1820,2480.35,3562.716,4576.951,4430.186,0,0.03,9007.137,0,121.5963495
PART,53,Cadres moyens dans les autres services,PUBLIC,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1800,614.835,1475.298,0,4730.891,0,0.03,4730.891,0,63.8670285
PART,50,Enseignants universitaires,PUBLIC,TUNISIA,TUNISIA,7000,4323,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,2075,3719.126,14003.437,0,44268.675,0,0.03,44268.675,0,597.6271125
PRO,53,Commer√ßants dans l'habillement et la chaussure,PRIVE,TUNISIA,TUNISIA,7000,5595,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,1180,1424.373,0,0,34496.791,-1292.427,0.03,33204.364,0,448.258914
PART,39,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,3202,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,2344,1941.595,5512.582,15656.627,30673.149,-2495.304,0.03,43834.472,0,591.765372
PRO,69,Commer√ßants (autres),N_D,TUNISIA,TUNISIA,7000,4035,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,10000,15978.262,5288.355,25061.02,136875.415,0,0.03,161936.435,0,2186.141873
PART,44,Autres cadres sup√©rieurs,PUBLIC,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,3019,4757.097,28040.985,10966.659,8392.984,-11.159,0.03,19348.484,0,261.204534
PART,52,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,5604,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1229,883.894,0,5786.836,7003.551,-1146.564,0.03,11643.823,0,157.1916105
PART,47,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,4482,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,500.131,1815.165,112.11,0,10059.019,0,0.03,10059.019,0,135.7967565
PRO,57,Artisans (autres),PRIVE,TUNISIA,TUNISIA,7000,4482,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,3000,1260.989,14598.331,0,167921.706,-13195.495,0.03,154726.211,0,2088.803849
PART,62,Employ√©s de bureau,PRIVE,TUNISIA,TUNISIA,7000,4035,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,773,1632.219,622.3,0,30604.684,0,0.03,30604.684,0,413.163234
PART,70,Retrait√©s,PUBLIC,TUNISIA,TUNISIA,7000,4035,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2741,5108.101,24028.727,7345.253,10134.651,0,0.03,17479.904,0,235.978704
PART,46,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4482,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1097,1080.507,3631.758,0,22989.976,0,0.03,22989.976,0,310.364676
PRO,46,M√©decins g√©n√©ralistes,N_D,TUNISIA,TUNISIA,7000,4323,PRINCIPAL,HAUT DE GAMME,3 PL,3000,8071.584,3336.668,0,46163.41,0,0.03,46163.41,0,623.206035
PART,60,Autres cadres sup√©rieurs,PRIVE,TUNISIA,TUNISIA,7000,4323,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,2923,3686.912,728.665,9745.623,16656.162,0,0.03,26401.785,0,356.4240975
PART,46,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,,156941.421,15917.737,0,110522.78,0,0.03,110522.78,0,1492.05753
PART,43,Employ√©s de bureau,PRIVE,TUNISIA,TUNISIA,7000,4323,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,4000,100110.394,404571.0403,110000,228216.762,-2373.673,0.03,335843.089,0,4533.881702
PRO,38,Artisans (autres),N_D,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,1000,7485.484,48059.794,1860.038,6953.035,0,0.03,8813.073,0,118.9764855
PRO,44,Cadres moyens dans les autres services,PRIVE,TUNISIA,TUNISIA,6000,4323,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,1400,87831.534,43885.923,21266.299,39168.894,0,0.03,60435.193,0,815.8751055
PART,37,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1473,1553.647,15.523,5992.474,20826.773,-2226.849,0.03,24592.398,0,331.997373
PART,66,Retrait√©s,PUBLIC,TUNISIA,TUNISIA,7000,4035,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1832,2186.441,8626.833,5520.723,29360.87,-3639.957,0.03,31241.636,0,421.762086
PART,47,Cadres moyens des services administratifs et financiers,PRIVE,TUNISIA,TUNISIA,7000,4323,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,4300,5336.278,0,28505.191,140040.912,-114.103,0.03,168432,0,2273.832
PART,58,Cadres moyens dans les autres services,PUBLIC,TUNISIA,TUNISIA,7000,4035,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1769,1865.037,2731.464,0,43897.703,0,0.03,43897.703,0,592.6189905
PRO,45,Directeurs d'entreprises,PUBLIC,TUNISIA,TUNISIA,6000,4035,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,2000,33526.479,58028.356,13509.305,28019.11,0,0.03,41528.415,0,560.6336025
PART,45,Techniciens (autres),PRIVE,TUNISIA,TUNISIA,7000,3078,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,2880,12200.709,18.638,0,64053.873,-3425.878,0.03,60627.995,0,818.4779325
PRO,58,Dirigeants et g√©rants dans l'industrie,N_D,TUNISIA,TUNISIA,6000,4595,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,35000,77558.046,55317.377,0,6575.941,0,0.03,6575.941,0,88.7752035
PRO,56,Artisans (autres),N_D,TUNISIA,TUNISIA,7000,5604,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,55000,4653.866,20718.224,24100.174,32249.704,0,0.03,56349.878,0,760.723353
TRE,50,Enseignants universitaires,PRIVE,TUNISIA,FRANCE,7150,3078,PRINCIPAL,TRE,1 TRE - HG,3200,2409.215556,693.800112,0,53965.306,0,0.03,53965.306,0,728.531631
PART,52,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,5604,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1370,1473.532,5924.459,4423.434,16571.036,0,0.03,20994.47,0,283.425345
PART,48,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,5803,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1951,1923.349,2467.061,15651.626,10143.266,0,0.03,25794.892,0,348.231042
PRO,54,Artisans du batiment et assimil√©s,PRIVE,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,4960,46769.228,1003.073,0,25059.091,-18092.47,0.03,6966.621,0,94.0493835
PRO,50,Artisans (autres),N_D,TUNISIA,TUNISIA,6000,6162,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,24000,10189.791,0,0,88268.498,-4789.548,0.03,83478.95,0,1126.965825
PART,50,Enseignants de l'enseignement primaire,PUBLIC,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,3856,11257.461,34991.131,26462.889,36883.891,0,0.03,63346.78,0,855.18153
PRO,63,Artisans du bois et assimil√©s,N_D,TUNISIA,TUNISIA,6000,6162,AUX,GRAND PUBLIC,3 GP - PRO,2500,5031.201,1185.543,0,2093.953,0,0.03,2093.953,0,28.2683655
